Fungal_Genus,Bacterial_Genus,Group,Spearman_Rho,P_value,Mean_Fungal_Abundance,Mean_Bacterial_Abundance
g__Talaromyces,g__Clostridium,Basal Diet_Day1,-0.657267069,0.05439738,0.00475262,0.002321592
g__Saccharomyces,g__Escherichia,Basal Diet_Day10,-0.657267069,0.05439738,0.013071502,0.062434433
g__Tetrapisispora,g__Clostridium,Probiotic_Day21,-0.697601148,0.054401352,0.003548715,0.02084754
g__Trichoderma,g__Shigella,BMD_Day21,-0.694623232,0.055884726,0.028916601,0.000955813
g__Fusarium,g__Massilistercora,Basal Diet_Day21,0.694623232,0.055884726,0.133448325,0.019725862
g__Malassezia,g__Blautia,Basal Diet_Day21,0.694623232,0.055884726,0.085443311,0.030077644
g__Malassezia,g__Flavonifractor,Basal Diet_Day21,0.694623232,0.055884726,0.085443311,0.013892123
g__Colletotrichum,g__Bifidobacterium,Essential oils_Day10,-0.714285714,0.057589286,0.054673159,0.023235908
g__Pyricularia,g__Lactobacillus,BMD_Day21,-0.714285714,0.057589286,0.093822448,0.23762362
g__Aspergillus,g__Lactobacillus,Essential oils_Day21,-0.714285714,0.057589286,0.148266071,0.167748054
g__Colletotrichum,g__Clostridium,Probiotic_Day21,0.714285714,0.057589286,0.04875637,0.02084754
g__Aspergillus,g__Bifidobacterium,Basal Diet_Day10,0.666666667,0.058889991,0.112539511,0.057273827
g__Ustilago,g__Shigella,BMD_Day10,0.684917491,0.060885791,0.022956064,0.002878161
g__Ascochyta,g__Limosilactobacillus,Essential oils_Day21,0.684917491,0.060885791,0.015033038,0.021916324
g__Trichoderma,g__Massilistercora,Basal Diet_Day10,-0.644357105,0.061032958,0.044598971,0.012800621
g__Cutaneotrichosporon,g__Clostridium,Basal Diet_Day10,0.644160328,0.061137855,0.040291389,0.016145402
g__Colletotrichum,g__Escherichia,Essential oils_Day1,-0.683130051,0.06183473,0.027065399,0.653498957
g__Tetrapisispora,g__Blautia,BMD_Day10,0.683130051,0.06183473,0.031912305,0.011619924
g__Tetrapisispora,g__Lachnoclostridium,BMD_Day10,0.683130051,0.06183473,0.031912305,0.009312652
g__Tetrapisispora,g__Clostridium,BMD_Day10,0.683130051,0.06183473,0.031912305,0.010880368
g__Tetrapisispora,g__Flavonifractor,BMD_Day10,0.683130051,0.06183473,0.031912305,0.004619363
g__Saccharomyces,g__Streptococcus,Essential oils_Day10,0.683130051,0.06183473,0.009617849,0.011863543
g__Trichoderma,g__Streptococcus,Essential oils_Day21,-0.683130051,0.06183473,0.023996994,0.003419782
g__Talaromyces,g__Subdoligranulum,Basal Diet_Day21,0.683130051,0.06183473,0.0897301,0.035654885
g__Zymoseptoria,g__Flavonifractor,Probiotic_Day10,0.682646969,0.062092692,0.037737105,0.013307708
g__Cutaneotrichosporon,g__Streptococcus,Essential oils_Day1,-0.681930907,0.062476239,0.009276036,0.018888098
g__Tetrapisispora,g__Clostridium,Basal Diet_Day1,0.63900965,0.063924123,0.010906163,0.002321592
g__Zymoseptoria,g__Enterococcus,Basal Diet_Day10,0.63900965,0.063924123,0.005723635,0.320828489
g__Fusarium,g__Lactobacillus,Basal Diet_Day10,0.65,0.066561949,0.070979256,0.209988822
g__Pyricularia,g__Lachnoclostridium,Basal Diet_Day10,0.65,0.066561949,0.056864348,0.020317198
g__Eremothecium,g__Streptococcus,Basal Diet_Day10,-0.65,0.066561949,0.037330397,0.011233379
g__Ustilago,g__Escherichia,BMD_Day10,0.672233833,0.067808887,0.022956064,0.088383575
g__Tetrapisispora,g__Lachnoclostridium,Probiotic_Day21,-0.672233833,0.067808887,0.003548715,0.036599797
g__Cutaneotrichosporon,g__Massilistercora,BMD_Day21,0.670670707,0.068692742,0.012709718,0.019550457
g__Malassezia,g__Lachnoclostridium,Essential oils_Day21,-0.670670707,0.068692742,0.160397175,0.044370246
g__Candida,g__Lachnoclostridium,Essential oils_Day10,-0.69047619,0.069394841,0.081265684,0.0231741
g__Ustilago,g__Streptococcus,Essential oils_Day10,-0.69047619,0.069394841,0.036762777,0.011863543
