"Fungal_Genus","Bacterial_Genus","Group","Spearman_Rho","P_value","Mean_Fungal_Abundance","Mean_Bacterial_Abundance"
"g__Cutaneotrichosporon","g__Escherichia","Probiotic_Day1",-0.400891862868637,0.372769023006535,0.0036452565522333,0.816333406055529
"g__Cutaneotrichosporon","g__Enterococcus","Probiotic_Day1",0.0890870806374748,0.849360513995829,0.0036452565522333,0.0388014075643316
"g__Cutaneotrichosporon","g__Lactobacillus","Probiotic_Day1",0.267261241912424,0.562312270470492,0.0036452565522333,0.00121059114862574
"g__Cutaneotrichosporon","g__Faecalibacterium","Probiotic_Day1",0.534522483824849,0.216437229269685,0.0036452565522333,0.000443428110020146
"g__Cutaneotrichosporon","g__Bifidobacterium","Probiotic_Day1",0.222717701593687,0.631209909692864,0.0036452565522333,0.000138345115643268
"g__Cutaneotrichosporon","g__Limosilactobacillus","Probiotic_Day1",0.400891862868637,0.372769023006535,0.0036452565522333,0.000317883959314671
"g__Cutaneotrichosporon","g__Blautia","Probiotic_Day1",0.267261241912424,0.562312270470492,0.0036452565522333,0.000110841607350002
"g__Cutaneotrichosporon","g__Subdoligranulum","Probiotic_Day1",0.534522483824849,0.216437229269685,0.0036452565522333,0.00015055578931445
"g__Cutaneotrichosporon","g__Ligilactobacillus","Probiotic_Day1",0.267261241912424,0.562312270470492,0.0036452565522333,0.000271855388135746
"g__Cutaneotrichosporon","g__Lachnoclostridium","Probiotic_Day1",0.534522483824849,0.216437229269685,0.0036452565522333,0.000117335545787591
"g__Cutaneotrichosporon","g__Clostridium","Probiotic_Day1",0.489978943506111,0.264330024481353,0.0036452565522333,0.000252781470155366
"g__Cutaneotrichosporon","g__Massilistercora","Probiotic_Day1",0.534522483824849,0.216437229269685,0.0036452565522333,6.59691997064414e-05
"g__Cutaneotrichosporon","g__Streptococcus","Probiotic_Day1",0.801783725737273,0.0300992478974626,0.0036452565522333,0.0274665934171561
"g__Cutaneotrichosporon","g__Shigella","Probiotic_Day1",-0.17817416127495,0.702300434833638,0.0036452565522333,0.0278962524271404
"g__Cutaneotrichosporon","g__Flavonifractor","Probiotic_Day1",0.534522483824849,0.216437229269685,0.0036452565522333,7.01791500510631e-05
"g__Tetrapisispora","g__Escherichia","Probiotic_Day1",-0.612372435695794,0.143810808711604,0.00198412698412698,0.816333406055529
"g__Tetrapisispora","g__Enterococcus","Probiotic_Day1",-0.204124145231932,0.66064215524065,0.00198412698412698,0.0388014075643316
"g__Tetrapisispora","g__Lactobacillus","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,0.00121059114862574
"g__Tetrapisispora","g__Faecalibacterium","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,0.000443428110020146
"g__Tetrapisispora","g__Bifidobacterium","Probiotic_Day1",0.408248290463863,0.363217467649123,0.00198412698412698,0.000138345115643268
"g__Tetrapisispora","g__Limosilactobacillus","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,0.000317883959314671
"g__Tetrapisispora","g__Blautia","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,0.000110841607350002
"g__Tetrapisispora","g__Subdoligranulum","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,0.00015055578931445
"g__Tetrapisispora","g__Ligilactobacillus","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,0.000271855388135746
"g__Tetrapisispora","g__Lachnoclostridium","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,0.000117335545787591
"g__Tetrapisispora","g__Clostridium","Probiotic_Day1",0.408248290463863,0.363217467649123,0.00198412698412698,0.000252781470155366
"g__Tetrapisispora","g__Massilistercora","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,6.59691997064414e-05
"g__Tetrapisispora","g__Streptococcus","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,0.0274665934171561
"g__Tetrapisispora","g__Shigella","Probiotic_Day1",-0.204124145231932,0.66064215524065,0.00198412698412698,0.0278962524271404
"g__Tetrapisispora","g__Flavonifractor","Probiotic_Day1",0.612372435695794,0.143810808711604,0.00198412698412698,7.01791500510631e-05
"g__Ustilago","g__Escherichia","Probiotic_Day1",0.408248290463863,0.363217467649123,0.03125,0.816333406055529
"g__Ustilago","g__Enterococcus","Probiotic_Day1",-0.612372435695794,0.143810808711604,0.03125,0.0388014075643316
"g__Ustilago","g__Lactobacillus","Probiotic_Day1",0.408248290463863,0.363217467649123,0.03125,0.00121059114862574
"g__Ustilago","g__Faecalibacterium","Probiotic_Day1",-0.204124145231932,0.66064215524065,0.03125,0.000443428110020146
"g__Ustilago","g__Bifidobacterium","Probiotic_Day1",0,1,0.03125,0.000138345115643268
"g__Ustilago","g__Limosilactobacillus","Probiotic_Day1",0,1,0.03125,0.000317883959314671
"g__Ustilago","g__Blautia","Probiotic_Day1",-0.204124145231932,0.66064215524065,0.03125,0.000110841607350002
"g__Ustilago","g__Subdoligranulum","Probiotic_Day1",-0.204124145231932,0.66064215524065,0.03125,0.00015055578931445
"g__Ustilago","g__Ligilactobacillus","Probiotic_Day1",0.408248290463863,0.363217467649123,0.03125,0.000271855388135746
"g__Ustilago","g__Lachnoclostridium","Probiotic_Day1",-0.204124145231932,0.66064215524065,0.03125,0.000117335545787591
